N_A,N_B,multi_entropy_avg,multi_entropy_std,S_A_avg,S_A_std,S_B_avg,S_B_std,S_AB_avg,S_AB_std,sum_Renyi_avg,sum_Renyi_std,kappa_avg,kappa_std
1,11,3.98211054767933,0.392630480315481,0.899134940572768,0.10367753980027,3.91096568124952,0.374500099123074,3.07567539830402,0.401605081688251,3.94288801006316,0.377377329491429,0.0392225376161735,0.0289844445111809
2,10,4.76750516088616,0.417601956265871,1.67497768094403,0.228648076262154,4.55571289853563,0.371599898071118,3.07567539830402,0.401605081688251,4.65318298889185,0.368385159144561,0.114322171994326,0.0714403696777153
3,9,5.46288319888831,0.542593257343813,2.4168437331604,0.333626980283851,5.002778915616,0.439453485984361,3.07567539830402,0.401605081688251,5.24764902354021,0.423825790218755,0.215234175348103,0.142981227536458
4,8,6.05608977157884,0.71002131681478,3.11086752829256,0.430435607904097,5.19595212280075,0.502170199600394,3.07567539830402,0.401605081688251,5.69124752469865,0.501241026531355,0.364842246880175,0.24290857495044
5,7,6.50996970016683,0.881747424305458,3.75010321933428,0.523996689887351,5.07283940818884,0.504060679775137,3.07567539830402,0.401605081688251,5.94930901291358,0.554155176501905,0.560660687253257,0.373001168114622
6,6,6.70890293683108,0.989154642944448,4.28192920580394,0.608784186748235,4.6568749356709,0.45326516941065,3.07567539830402,0.401605081688251,6.00723976988943,0.585537855016324,0.701663166941644,0.457281472423464
7,5,6.54072240542705,0.980940155914214,4.65028395722093,0.667764812456738,4.0414513100341,0.385777829424083,3.07567539830402,0.401605081688251,5.88370533277951,0.598847294700131,0.65701707264753,0.433449969831769
8,4,6.05976738111951,0.884893565692412,4.79153797042223,0.684241151241537,3.30456443291628,0.317619246800267,3.07567539830402,0.401605081688251,5.58588890082127,0.596438248987333,0.473878480298252,0.332515389676747
9,3,5.39782432782358,0.757832473307145,4.64880292434207,0.662205159977103,2.50579083898311,0.24326425626351,3.07567539830402,0.401605081688251,5.11513458081459,0.573685642948584,0.282689747008983,0.221121666663415
10,2,4.65390708594094,0.624812168934479,4.25779719448276,0.588383978829021,1.68019624866836,0.164377085997746,3.07567539830402,0.401605081688251,4.50683442072757,0.525219213962865,0.147072665213365,0.131039093234311
11,1,3.88219351388764,0.506754460404489,3.70836608908257,0.494888742926906,0.85991319429219,0.0820240932199246,3.07567539830402,0.401605081688251,3.82197734083939,0.466032454249288,0.0602161730482473,0.064987666134953
