N_A,N_B,multi_entropy_avg,multi_entropy_std,S_A_avg,S_A_std,S_B_avg,S_B_std,S_AB_avg,S_AB_std,sum_Renyi_avg,sum_Renyi_std,kappa_avg,kappa_std
1,11,4.95819901192114,0.00703232863705238,0.999630256810302,0.000323042548171141,4.92267284897328,0.00704986831623769,3.95882030476593,0.00700557674096523,4.94056170527475,0.00681150495702567,0.017637306646384,0.00172867881648503
2,10,5.95350927729459,0.00745295480236789,1.99622917062869,0.00162140679033814,5.81518494462304,0.00973300373146278,3.95882030476593,0.00700557674096523,5.88511721000884,0.00739831836213363,0.0683920672857577,0.00426006408199881
3,9,6.93725046081886,0.00880002101331041,2.98350796885197,0.0041139614476683,6.52508444168464,0.0133708481044189,3.95882030476593,0.00700557674096523,6.73370635765127,0.00883418586497986,0.203544103167587,0.00653243805032268
4,8,7.90165897848562,0.0110968251345331,3.95853889788555,0.0072135910850244,6.81219748964569,0.0150144513425766,3.95882030476593,0.00700557674096523,7.36477834614857,0.00996708006040484,0.536880632337048,0.00778727119230517
5,7,8.79174292792471,0.0136880902409761,4.90988055224278,0.0104695931813918,6.51570814531519,0.0133370575290733,3.95882030476593,0.00700557674096523,7.69220450116194,0.0104628183664007,1.09953842676277,0.00699908843538282
6,6,9.25658898945257,0.0145031369972585,5.79693710417983,0.0146258777241994,5.80288770971071,0.0102041284081358,3.95882030476593,0.00700557674096523,7.77932255932826,0.0111084668589999,1.47726643012432,0.00441315326800235
7,5,8.79238939280214,0.0117625847831654,6.50273601513694,0.0194401891607229,4.91218629346331,0.00745603507794113,3.95882030476593,0.00700557674096523,7.68687130668309,0.0126578950864985,1.10551808611905,0.00653210614965938
8,4,7.90179649806315,0.00960418392377,6.79107051810946,0.0218770882486474,3.95912300991132,0.00537035760356916,3.95882030476593,0.00700557674096523,7.35450691639336,0.0135389692524417,0.547289581669769,0.00856753414712286
9,3,6.93691490658847,0.00807850251473982,6.5023701047114,0.0191748975545792,2.98326171476252,0.00327453501974482,3.95882030476593,0.00700557674096523,6.72222606211994,0.0121681725296553,0.21468884446852,0.00745149481662641
10,2,5.95300149645345,0.00717736365391509,5.79634144535515,0.0145514131449769,1.99573012567969,0.00148168420070681,3.95882030476593,0.00700557674096523,5.8754459379004,0.0100888822514028,0.077555558553052,0.00509401523274572
11,1,4.95779123453678,0.0070353125849254,4.90931705602534,0.0104116308412169,0.999242680316668,0.000526795713978467,3.95882030476593,0.00700557674096523,4.93369002055397,0.00844406692407748,0.0241012139828208,0.00264510332557399
